Player,npxG,npSh,npxG_per_shot,Efficiency
Solly March,8.1,74.0,0.10945945945945945,0.8866216216216215
Dominic Calvert-Lewin,5.0,29.0,0.1724137931034483,0.8620689655172414
Julián Álvarez,6.2,45.0,0.13777777777777778,0.8542222222222222
İlkay Gündoğan,6.7,53.0,0.12641509433962264,0.8469811320754718
Jarrod Bowen,7.8,72.0,0.10833333333333334,0.845
Joe Willock,7.0,58.0,0.1206896551724138,0.8448275862068966
Kieffer Moore,4.4,23.0,0.19130434782608696,0.8417391304347827
Jadon Sancho,4.2,21.0,0.2,0.8400000000000001
Rodrigo,7.3,65.0,0.1123076923076923,0.8198461538461538
Gabriel Dos Santos,5.1,32.0,0.159375,0.8128124999999999
Emi Buendía,6.3,49.0,0.12857142857142856,0.8099999999999999
Evan Ferguson,5.3,36.0,0.14722222222222223,0.7802777777777777
Roberto Firmino,5.5,39.0,0.14102564102564102,0.7756410256410257
Jacob Ramsey,5.0,33.0,0.15151515151515152,0.7575757575757576
Phil Foden,5.9,46.0,0.1282608695652174,0.7567391304347827
Brennan Johnson,6.2,51.0,0.12156862745098039,0.7537254901960785
Deniz Undav,4.5,27.0,0.16666666666666666,0.75
Pascal Groß,5.4,39.0,0.13846153846153847,0.7476923076923078
Alexis Mac Allister,7.3,74.0,0.09864864864864864,0.720135135135135
Neal Maupay,4.8,32.0,0.15,0.72
Andreas Pereira,6.5,60.0,0.10833333333333334,0.7041666666666667
Bruno Fernandes,7.7,88.0,0.08750000000000001,0.6737500000000001
Christian Eriksen,5.0,39.0,0.1282051282051282,0.641025641025641
Philip Billing,4.9,38.0,0.12894736842105264,0.631842105263158
Danny Ings,3.8,23.0,0.16521739130434782,0.6278260869565216
Eberechi Eze,6.5,69.0,0.09420289855072464,0.6123188405797102
Antony,6.6,72.0,0.09166666666666666,0.6049999999999999
Danny Ings,3.0,15.0,0.2,0.6000000000000001
Ethan Pinnock,3.0,15.0,0.2,0.6000000000000001
Jack Harrison,4.7,39.0,0.12051282051282051,0.5664102564102564
Mikkel Damsgaard,2.6,12.0,0.21666666666666667,0.5633333333333334
Granit Xhaka,4.7,40.0,0.11750000000000001,0.55225
Leon Bailey,5.3,51.0,0.10392156862745097,0.5507843137254901
Riyad Mahrez,4.7,41.0,0.11463414634146342,0.5387804878048781
James Maddison,6.6,82.0,0.08048780487804878,0.531219512195122
João Félix,4.9,46.0,0.10652173913043479,0.5219565217391305
Carlos Vinícius,3.3,21.0,0.15714285714285714,0.5185714285714286
Jack Grealish,4.6,41.0,0.1121951219512195,0.5160975609756097
Leandro Trossard,4.4,38.0,0.11578947368421054,0.5094736842105264
Dango Ouattara,3.6,26.0,0.13846153846153847,0.4984615384615385
Bobby Reid,3.9,31.0,0.12580645161290321,0.49064516129032254
Luis Sinisterra,3.7,28.0,0.13214285714285715,0.48892857142857143
Kevin De Bruyne,5.6,65.0,0.08615384615384615,0.4824615384615384
Pablo Sarabia,3.1,20.0,0.155,0.4805
Tomáš Souček,4.0,34.0,0.11764705882352941,0.47058823529411764
Hwang Hee-chan,2.9,18.0,0.1611111111111111,0.46722222222222215
Odsonne Édouard,4.2,39.0,0.1076923076923077,0.45230769230769236
Fabian Schär,4.9,56.0,0.08750000000000001,0.4287500000000001
Jean-Philippe Mateta,3.4,27.0,0.1259259259259259,0.4281481481481481
Luke Ayling,3.2,24.0,0.13333333333333333,0.4266666666666667
Rodri,4.6,50.0,0.092,0.42319999999999997
Julio César Enciso,4.0,38.0,0.10526315789473684,0.42105263157894735
Anthony Gordon,3.3,26.0,0.12692307692307692,0.4188461538461538
Vitaly Janelt,2.4,14.0,0.17142857142857143,0.4114285714285714
Patson Daka,3.5,30.0,0.11666666666666667,0.4083333333333333
Nayef Aguerd,2.2,12.0,0.18333333333333335,0.4033333333333334
Richarlison,3.3,27.0,0.12222222222222222,0.4033333333333333
Demarai Gray,4.7,55.0,0.08545454545454546,0.4016363636363637
